"Amino_Acid","Total_Nucleons","Protons","Neutrons","Delta_P_N"
"Alanine",89,48,41,7
"Arginine",174,94,80,14
"Asparagine",132,70,62,8
"Aspartic acid",133,70,63,7
"Cysteine",121,64,57,7
"Glutamic acid",147,78,69,9
"Glutamine",146,78,68,10
"Glycine",75,40,35,5
"Histidine",155,82,73,9
"Isoleucine",131,72,59,13
"Leucine",131,72,59,13
"Lysine",146,80,66,14
"Methionine",149,80,69,11
"Phenylalanine",165,88,77,11
"Proline",115,62,53,9
"Serine",105,56,49,7
"Threonine",119,64,55,9
"Tryptophan",204,108,96,12
"Tyrosine",181,96,85,11
"Valine",117,64,53,11
