"Transl_Table","Code_Name","Pure_Codons_Count","Pure_Codons_Count_Alt","N_All","N_Pure","N_Pure_Alt","Octet1_Struct_T","Octet1_Func_T","Deficit_vs_3700","Deficit_vs_Struct","Deficit_vs_Func","Deficit_vs_3700_Alt","Deficit_vs_Struct_Alt","Deficit_vs_Func_Alt","P_All","P_Pure","P_Pure_Alt","P_Pure_mod37","P_Pure_Alt_mod37"
1,"The Standard Code",60,60,3658,3589,3589,3700,3700,111,111,111,111,111,111,4260,4180,4180,36,36
2,"The Vertebrate Mitochondrial Code",59,59,3604,3535,3535,3700,3700,165,165,165,165,165,165,4188,4108,4108,1,1
3,"The Yeast Mitochondrial Code",61,61,3748,3679,3679,3652,3652,21,-27,-27,21,-27,-27,4344,4264,4264,9,9
4,"The Mold, Protozoan, and Coelenterate Mitochondrial Code and the Mycoplasma/Spiroplasma Code",61,61,3754,3685,3685,3700,3700,15,15,15,15,15,15,4368,4288,4288,33,33
5,"The Invertebrate Mitochondrial Code",61,61,3702,3633,3633,3700,4120,67,67,487,67,67,487,4300,4220,4220,2,2
6,"The Ciliate, Dasycladacean and Hexamita Nuclear Code",62,62,3794,3725,3725,3700,3700,-25,-25,-25,-25,-25,-25,4416,4336,4336,7,7
9,"The Echinoderm and Flatworm Mitochondrial Code",61,61,3688,3619,3619,3700,4120,81,81,501,81,81,501,4282,4202,4202,21,21
10,"The Euplotid Nuclear Code",61,61,3715,3646,3646,3700,3700,54,54,54,54,54,54,4324,4244,4244,26,26
11,"The Bacterial, Archaeal and Plant Plastid Code",60,60,3658,3589,3589,3700,3700,111,111,111,111,111,111,4260,4180,4180,36,36
12,"The Alternative Yeast Nuclear Code",60,60,3648,3579,3579,3674,3176,121,95,-403,121,95,-403,4244,4164,4164,20,20
13,"The Ascidian Mitochondrial Code",61,61,3674,3605,3605,3700,3700,95,95,95,95,95,95,4268,4188,4188,7,7
14,"The Alternative Flatworm Mitochondrial Code",62,62,3773,3704,3704,3700,4120,-4,-4,416,-4,-4,416,4378,4298,4298,6,6
15,"Blepharisma Nuclear Code",61,61,3726,3657,3657,3700,3700,43,43,43,43,43,43,4338,4258,4258,3,3
16,"Chlorophycean Mitochondrial Code",61,61,3717,3648,3648,3700,3700,52,52,52,52,52,52,4332,4252,4252,34,34
21,"Trematode Mitochondrial Code",61,61,3698,3629,3629,3700,4120,71,71,491,71,71,491,4290,4210,4210,29,29
22,"Scenedesmus obliquus Mitochondrial Code",60,60,3668,3599,3599,3595,3280,101,-4,-319,101,-4,-319,4276,4196,4196,15,15
23,"Thraustochytrium Mitochondrial Code",59,59,3599,3530,3530,3700,3700,170,170,170,170,170,170,4188,4108,4108,1,1
24,"Rhabdopleuridae Mitochondrial Code",61,61,3709,3640,3640,3700,3700,60,60,60,60,60,60,4316,4236,4236,18,18
25,"Candidate Division SR1 and Gracilibacteria Code",61,61,3693,3624,3624,3700,3700,76,76,76,76,76,76,4300,4220,4220,2,2
26,"Pachysolen tannophilus Nuclear Code",60,60,3640,3571,3571,3658,3176,129,87,-395,129,87,-395,4236,4156,4156,12,12
27,"Karyorelict Nuclear Code",62,63,3890,3725,3821,3700,3700,-25,-25,-25,-121,-121,-121,4524,4336,4444,7,4
28,"Condylostoma Nuclear Code",60,63,3890,3589,3821,3700,3700,111,111,111,-121,-121,-121,4524,4180,4444,36,4
29,"Mesodinium Nuclear Code",62,62,3828,3759,3759,3700,4424,-59,-59,665,-59,-59,665,4452,4372,4372,6,6
30,"Peritrich Nuclear Code",62,62,3796,3727,3727,3700,3700,-27,-27,-27,-27,-27,-27,4416,4336,4336,7,7
31,"Blastocrithidia Nuclear Code",61,63,3892,3685,3823,3700,3700,15,15,15,-123,-123,-123,4524,4288,4444,33,4
32,"Balanophoraceae Plastid Code",61,61,3754,3685,3685,3700,3700,15,15,15,15,15,15,4368,4288,4288,33,33
33,"Cephalodiscidae Mitochondrial UAA-Tyr Code",62,62,3794,3725,3725,3700,3700,-25,-25,-25,-25,-25,-25,4412,4332,4332,3,3
