"Group_Name","Group_ID","Twin_Group_ID","Code_Section","Group_Size","P_T_Rational","N_T_Rational","Delta_T_Rational","P_N_Rational","Delta_P_Rational","Delta_N_Rational","P_T_Ratio","N_T_Ratio","Delta_T_Ratio","P_N_Ratio","Delta_P_Ratio","Delta_N_Ratio"
"ALL: {C, G, A, T}",1,"","All code",64,"2130/3959","1829/3959","301/3959","2130/1829","301/2130","301/1829","0.5380","0.4620","0.0760","1.1646","0.1413","0.1646"
"Keto: {G, T}",2,3,"All code",32,"1094/2035","941/2035","153/2035","1094/941","153/1094","153/941","0.5376","0.4624","0.0752","1.1626","0.1399","0.1626"
"Strong: {C, G}",3,2,"All code",32,"1094/2035","941/2035","153/2035","1094/941","153/1094","153/941","0.5376","0.4624","0.0752","1.1626","0.1399","0.1626"
"Amino: {A, C}",4,5,"All code",32,"7/13","6/13","1/13","7/6","1/7","1/6","0.5385","0.4615","0.0769","1.1667","0.1429","0.1667"
"Weak: {A, T}",5,4,"All code",32,"7/13","6/13","1/13","7/6","1/7","1/6","0.5385","0.4615","0.0769","1.1667","0.1429","0.1667"
"Purine: {A, G}",6,"","All code",32,"344/637","293/637","51/637","344/293","51/344","51/293","0.5400","0.4600","0.0801","1.1741","0.1483","0.1741"
"Pyrimidine: {C, T}",7,"","All code",32,"549/1024","475/1024","37/512","549/475","74/549","74/475","0.5361","0.4639","0.0723","1.1558","0.1348","0.1558"
"{C}",8,"","All code",16,"549/1024","475/1024","37/512","549/475","74/549","74/475","0.5361","0.4639","0.0723","1.1558","0.1348","0.1558"
"{G}",9,"","All code",16,"545/1011","466/1011","79/1011","545/466","79/545","79/466","0.5391","0.4609","0.0781","1.1695","0.1450","0.1695"
"{T}",10,"","All code",16,"549/1024","475/1024","37/512","549/475","74/549","74/475","0.5361","0.4639","0.0723","1.1558","0.1348","0.1558"
"{A}",11,"","All code",16,"487/900","413/900","37/450","487/413","74/487","74/413","0.5411","0.4589","0.0822","1.1792","0.1520","0.1792"
"Octet I: {C, G, A, T}",12,"","Octet I",32,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{G, T}",13,14,"Octet I",16,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{C, G}",14,13,"Octet I",16,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{A, C}",15,16,"Octet I",16,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{A, T}",16,15,"Octet I",16,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{A, G}",17,"","Octet I",16,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{C, T}",18,"","Octet I",16,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{C}",19,"","Octet I",8,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{G}",20,"","Octet I",8,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{T}",21,"","Octet I",8,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{A}",22,"","Octet I",8,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"Octet II: {C, G, A, T}",23,"","Octet II",32,"1130/2109","979/2109","151/2109","1130/979","151/1130","151/979","0.5358","0.4642","0.0716","1.1542","0.1336","0.1542"
"{G, T}",24,25,"Octet II",16,"99/185","86/185","13/185","99/86","13/99","13/86","0.5351","0.4649","0.0703","1.1512","0.1313","0.1512"
"{C, G}",25,24,"Octet II",16,"99/185","86/185","13/185","99/86","13/99","13/86","0.5351","0.4649","0.0703","1.1512","0.1313","0.1512"
"{A, C}",26,27,"Octet II",16,"536/999","463/999","73/999","536/463","73/536","73/463","0.5365","0.4635","0.0731","1.1577","0.1362","0.1577"
"{A, T}",27,26,"Octet II",16,"536/999","463/999","73/999","536/463","73/536","73/463","0.5365","0.4635","0.0731","1.1577","0.1362","0.1577"
"{A, G}",28,"","Octet II",16,"266/493","227/493","39/493","266/227","39/266","39/227","0.5396","0.4604","0.0791","1.1718","0.1466","0.1718"
"{C, T}",29,"","Octet II",16,"598/1123","525/1123","73/1123","598/525","73/598","73/525","0.5325","0.4675","0.0650","1.1390","0.1221","0.1390"
"{C}",30,"","Octet II",8,"598/1123","525/1123","73/1123","598/525","73/598","73/525","0.5325","0.4675","0.0650","1.1390","0.1221","0.1390"
"{G}",31,"","Octet II",8,"590/1097","507/1097","83/1097","590/507","83/590","83/507","0.5378","0.4622","0.0757","1.1637","0.1407","0.1637"
"{T}",32,"","Octet II",8,"598/1123","525/1123","73/1123","598/525","73/598","73/525","0.5325","0.4675","0.0650","1.1390","0.1221","0.1390"
"{A}",33,"","Octet II",8,"474/875","401/875","73/875","474/401","73/474","73/401","0.5417","0.4583","0.0834","1.1820","0.1540","0.1820"
