"Group_Name","Group_ID","Twin_Group_ID","Code_Section","Group_Size","Total_mod37","Protons_mod37","Neutrons_mod37","Delta_mod37"
"ALL: {C, G, A, T}",1,"","All code",64,"216*37","116*37","100*37","16*37"
"Keto: {G, T}",2,3,"All code",32,"108*37","58*37","50*37","8*37"
"Strong: {C, G}",3,2,"All code",32,"108*37","58*37","50*37","8*37"
"Amino: {A, C}",4,5,"All code",32,"108*37","58*37","50*37","8*37"
"Weak: {A, T}",5,4,"All code",32,"108*37","58*37","50*37","8*37"
"Purine: {A, G}",6,"","All code",32,"105*37+11","56*37+24","48*37+24","8*37"
"Pyrimidine: {C, T}",7,"","All code",32,"110*37+26","59*37+13","51*37+13","8*37"
"{C}",8,"","All code",16,"55*37+13","29*37+25","25*37+25","4*37"
"{G}",9,"","All code",16,"52*37+24","28*37+12","24*37+12","4*37"
"{T}",10,"","All code",16,"55*37+13","29*37+25","25*37+25","4*37"
"{A}",11,"","All code",16,"52*37+24","28*37+12","24*37+12","4*37"
"Octet I: {C, G, A, T}",12,"","Octet I",32,"100*37","54*37+2","45*37+35","8*37+4"
"{G, T}",13,14,"Octet I",16,"50*37","27*37+1","22*37+36","4*37+2"
"{C, G}",14,13,"Octet I",16,"50*37","27*37+1","22*37+36","4*37+2"
"{A, C}",15,16,"Octet I",16,"50*37","27*37+1","22*37+36","4*37+2"
"{A, T}",16,15,"Octet I",16,"50*37","27*37+1","22*37+36","4*37+2"
"{A, G}",17,"","Octet I",16,"50*37","27*37+1","22*37+36","4*37+2"
"{C, T}",18,"","Octet I",16,"50*37","27*37+1","22*37+36","4*37+2"
"{C}",19,"","Octet I",8,"25*37","13*37+19","11*37+18","2*37+1"
"{G}",20,"","Octet I",8,"25*37","13*37+19","11*37+18","2*37+1"
"{T}",21,"","Octet I",8,"25*37","13*37+19","11*37+18","2*37+1"
"{A}",22,"","Octet I",8,"25*37","13*37+19","11*37+18","2*37+1"
"Octet II: {C, G, A, T}",23,"","Octet II",32,"116*37","61*37+35","54*37+2","7*37+33"
"{G, T}",24,25,"Octet II",16,"58*37","30*37+36","27*37+1","3*37+35"
"{C, G}",25,24,"Octet II",16,"58*37","30*37+36","27*37+1","3*37+35"
"{A, C}",26,27,"Octet II",16,"58*37","30*37+36","27*37+1","3*37+35"
"{A, T}",27,26,"Octet II",16,"58*37","30*37+36","27*37+1","3*37+35"
"{A, G}",28,"","Octet II",16,"55*37+11","29*37+23","25*37+25","3*37+35"
"{C, T}",29,"","Octet II",16,"60*37+26","32*37+12","28*37+14","3*37+35"
"{C}",30,"","Octet II",8,"30*37+13","16*37+6","14*37+7","1*37+36"
"{G}",31,"","Octet II",8,"27*37+24","14*37+30","12*37+31","1*37+36"
"{T}",32,"","Octet II",8,"30*37+13","16*37+6","14*37+7","1*37+36"
"{A}",33,"","Octet II",8,"27*37+24","14*37+30","12*37+31","1*37+36"
