"Group_Name","Group_ID","Twin_Group_ID","Code_Section","Group_Size","Total_mod37","Protons_mod37","Neutrons_mod37","Delta_mod37"
"ALL: {C, G, A, T}",1,"","All code",60,"209*37+36","112*37+36","97*37","15*37+36"
"Keto: {G, T}",2,3,"All code",30,"105*37+36","56*37+36","49*37","7*37+36"
"Strong: {C, G}",3,2,"All code",30,"105*37+36","56*37+36","49*37","7*37+36"
"Amino: {A, C}",4,5,"All code",30,"104*37","56*37","48*37","8*37"
"Weak: {A, T}",5,4,"All code",30,"104*37","56*37","48*37","8*37"
"Purine: {A, G}",6,"","All code",28,"99*37+10","53*37+23","45*37+24","7*37+36"
"Pyrimidine: {C, T}",7,"","All code",32,"110*37+26","59*37+13","51*37+13","8*37"
"{C}",8,"","All code",16,"55*37+13","29*37+25","25*37+25","4*37"
"{G}",9,"","All code",14,"50*37+23","27*37+11","23*37+12","3*37+36"
"{T}",10,"","All code",16,"55*37+13","29*37+25","25*37+25","4*37"
"{A}",11,"","All code",14,"48*37+24","26*37+12","22*37+12","4*37"
"Octet I: {C, G, A, T}",12,"","Octet I",32,"100*37","54*37+2","45*37+35","8*37+4"
"{G, T}",13,14,"Octet I",16,"50*37","27*37+1","22*37+36","4*37+2"
"{C, G}",14,13,"Octet I",16,"50*37","27*37+1","22*37+36","4*37+2"
"{A, C}",15,16,"Octet I",16,"50*37","27*37+1","22*37+36","4*37+2"
"{A, T}",16,15,"Octet I",16,"50*37","27*37+1","22*37+36","4*37+2"
"{A, G}",17,"","Octet I",16,"50*37","27*37+1","22*37+36","4*37+2"
"{C, T}",18,"","Octet I",16,"50*37","27*37+1","22*37+36","4*37+2"
"{C}",19,"","Octet I",8,"25*37","13*37+19","11*37+18","2*37+1"
"{G}",20,"","Octet I",8,"25*37","13*37+19","11*37+18","2*37+1"
"{T}",21,"","Octet I",8,"25*37","13*37+19","11*37+18","2*37+1"
"{A}",22,"","Octet I",8,"25*37","13*37+19","11*37+18","2*37+1"
"Octet II: {C, G, A, T}",23,"","Octet II",28,"109*37+36","58*37+34","51*37+2","7*37+32"
"{G, T}",24,25,"Octet II",14,"55*37+36","29*37+35","26*37+1","3*37+34"
"{C, G}",25,24,"Octet II",14,"55*37+36","29*37+35","26*37+1","3*37+34"
"{A, C}",26,27,"Octet II",14,"54*37","28*37+36","25*37+1","3*37+35"
"{A, T}",27,26,"Octet II",14,"54*37","28*37+36","25*37+1","3*37+35"
"{A, G}",28,"","Octet II",12,"49*37+10","26*37+22","22*37+25","3*37+34"
"{C, T}",29,"","Octet II",16,"60*37+26","32*37+12","28*37+14","3*37+35"
"{C}",30,"","Octet II",8,"30*37+13","16*37+6","14*37+7","1*37+36"
"{G}",31,"","Octet II",6,"25*37+23","13*37+29","11*37+31","1*37+35"
"{T}",32,"","Octet II",8,"30*37+13","16*37+6","14*37+7","1*37+36"
"{A}",33,"","Octet II",6,"23*37+24","12*37+30","10*37+31","1*37+36"
