"Nucleon_Value","Match_Type","Source_Section","Source_ID","Source_Name","Source_Parameter","Target_Parameter","Target_Name","Target_ID","Target_Section"
73,"SAME_PARAM","Octet II",30,"{C}","Delta_P_N","Delta_P_N","{T}",32,"Octet II"
73,"SAME_PARAM","Octet II",30,"{C}","Delta_P_N","Delta_P_N","{A}",33,"Octet II"
73,"SAME_PARAM","Octet II",32,"{T}","Delta_P_N","Delta_P_N","{A}",33,"Octet II"
75,"SAME_PARAM","Octet I",19,"{C}","Delta_P_N","Delta_P_N","{G}",20,"Octet I"
75,"SAME_PARAM","Octet I",19,"{C}","Delta_P_N","Delta_P_N","{T}",21,"Octet I"
75,"SAME_PARAM","Octet I",19,"{C}","Delta_P_N","Delta_P_N","{A}",22,"Octet I"
75,"SAME_PARAM","Octet I",20,"{G}","Delta_P_N","Delta_P_N","{T}",21,"Octet I"
75,"SAME_PARAM","Octet I",20,"{G}","Delta_P_N","Delta_P_N","{A}",22,"Octet I"
75,"SAME_PARAM","Octet I",21,"{T}","Delta_P_N","Delta_P_N","{A}",22,"Octet I"
145,"SAME_PARAM","Octet II",24,"{G, T}","Delta_P_N","Delta_P_N","{C, G}",25,"Octet II"
145,"SAME_PARAM","Octet II",24,"{G, T}","Delta_P_N","Delta_P_N","{A, G}",28,"Octet II"
145,"SAME_PARAM","Octet II",25,"{C, G}","Delta_P_N","Delta_P_N","{A, G}",28,"Octet II"
146,"SAME_PARAM","Octet II",26,"{A, C}","Delta_P_N","Delta_P_N","{A, T}",27,"Octet II"
146,"SAME_PARAM","Octet II",26,"{A, C}","Delta_P_N","Delta_P_N","{C, T}",29,"Octet II"
146,"SAME_PARAM","Octet II",27,"{A, T}","Delta_P_N","Delta_P_N","{C, T}",29,"Octet II"
148,"SAME_PARAM","All code",8,"{C}","Delta_P_N","Delta_P_N","{T}",10,"All code"
148,"SAME_PARAM","All code",8,"{C}","Delta_P_N","Delta_P_N","{A}",11,"All code"
148,"SAME_PARAM","All code",10,"{T}","Delta_P_N","Delta_P_N","{A}",11,"All code"
150,"SAME_PARAM","Octet I",13,"{G, T}","Delta_P_N","Delta_P_N","{C, G}",14,"Octet I"
150,"SAME_PARAM","Octet I",13,"{G, T}","Delta_P_N","Delta_P_N","{A, C}",15,"Octet I"
150,"SAME_PARAM","Octet I",13,"{G, T}","Delta_P_N","Delta_P_N","{A, T}",16,"Octet I"
150,"SAME_PARAM","Octet I",13,"{G, T}","Delta_P_N","Delta_P_N","{A, G}",17,"Octet I"
150,"SAME_PARAM","Octet I",13,"{G, T}","Delta_P_N","Delta_P_N","{C, T}",18,"Octet I"
150,"SAME_PARAM","Octet I",14,"{C, G}","Delta_P_N","Delta_P_N","{A, C}",15,"Octet I"
150,"SAME_PARAM","Octet I",14,"{C, G}","Delta_P_N","Delta_P_N","{A, T}",16,"Octet I"
150,"SAME_PARAM","Octet I",14,"{C, G}","Delta_P_N","Delta_P_N","{A, G}",17,"Octet I"
150,"SAME_PARAM","Octet I",14,"{C, G}","Delta_P_N","Delta_P_N","{C, T}",18,"Octet I"
150,"SAME_PARAM","Octet I",15,"{A, C}","Delta_P_N","Delta_P_N","{A, T}",16,"Octet I"
150,"SAME_PARAM","Octet I",15,"{A, C}","Delta_P_N","Delta_P_N","{A, G}",17,"Octet I"
150,"SAME_PARAM","Octet I",15,"{A, C}","Delta_P_N","Delta_P_N","{C, T}",18,"Octet I"
150,"SAME_PARAM","Octet I",16,"{A, T}","Delta_P_N","Delta_P_N","{A, G}",17,"Octet I"
150,"SAME_PARAM","Octet I",16,"{A, T}","Delta_P_N","Delta_P_N","{C, T}",18,"Octet I"
150,"SAME_PARAM","Octet I",17,"{A, G}","Delta_P_N","Delta_P_N","{C, T}",18,"Octet I"
295,"SAME_PARAM","All code",2,"Keto: {G, T}","Delta_P_N","Delta_P_N","Strong: {C, G}",3,"All code"
295,"SAME_PARAM","All code",2,"Keto: {G, T}","Delta_P_N","Delta_P_N","Purine: {A, G}",6,"All code"
295,"SAME_PARAM","All code",3,"Strong: {C, G}","Delta_P_N","Delta_P_N","Purine: {A, G}",6,"All code"
296,"SAME_PARAM","All code",4,"Amino: {A, C}","Delta_P_N","Delta_P_N","Weak: {A, T}",5,"All code"
296,"SAME_PARAM","All code",4,"Amino: {A, C}","Delta_P_N","Delta_P_N","Pyrimidine: {C, T}",7,"All code"
296,"SAME_PARAM","All code",5,"Weak: {A, T}","Delta_P_N","Delta_P_N","Pyrimidine: {C, T}",7,"All code"
425,"SAME_PARAM","Octet I",19,"{C}","Neutrons","Neutrons","{G}",20,"Octet I"
425,"SAME_PARAM","Octet I",19,"{C}","Neutrons","Neutrons","{T}",21,"Octet I"
425,"SAME_PARAM","Octet I",19,"{C}","Neutrons","Neutrons","{A}",22,"Octet I"
425,"SAME_PARAM","Octet I",20,"{G}","Neutrons","Neutrons","{T}",21,"Octet I"
425,"SAME_PARAM","Octet I",20,"{G}","Neutrons","Neutrons","{A}",22,"Octet I"
425,"SAME_PARAM","Octet I",21,"{T}","Neutrons","Neutrons","{A}",22,"Octet I"
500,"SAME_PARAM","Octet I",19,"{C}","Protons","Protons","{G}",20,"Octet I"
500,"SAME_PARAM","Octet I",19,"{C}","Protons","Protons","{T}",21,"Octet I"
500,"SAME_PARAM","Octet I",19,"{C}","Protons","Protons","{A}",22,"Octet I"
500,"SAME_PARAM","Octet I",20,"{G}","Protons","Protons","{T}",21,"Octet I"
