"Group_Name","Group_ID","Twin_Group_ID","Code_Section","Group_Size","Total_Nucleons","Protons","Neutrons","Delta_P_N"
"ALL: {C, G, A, T}",1,"","All code",60,7769,4180,3589,591
"Keto: {G, T}",2,3,"All code",30,3921,2108,1813,295
"Strong: {C, G}",3,2,"All code",30,3921,2108,1813,295
"Amino: {A, C}",4,5,"All code",30,3848,2072,1776,296
"Weak: {A, T}",5,4,"All code",30,3848,2072,1776,296
"Purine: {A, G}",6,"","All code",28,3673,1984,1689,295
"Pyrimidine: {C, T}",7,"","All code",32,4096,2196,1900,296
"{C}",8,"","All code",16,2048,1098,950,148
"{G}",9,"","All code",14,1873,1010,863,147
"{T}",10,"","All code",16,2048,1098,950,148
"{A}",11,"","All code",14,1800,974,826,148
"Octet I: {C, G, A, T}",12,"","Octet I",32,3700,2000,1700,300
"{G, T}",13,14,"Octet I",16,1850,1000,850,150
"{C, G}",14,13,"Octet I",16,1850,1000,850,150
"{A, C}",15,16,"Octet I",16,1850,1000,850,150
"{A, T}",16,15,"Octet I",16,1850,1000,850,150
"{A, G}",17,"","Octet I",16,1850,1000,850,150
"{C, T}",18,"","Octet I",16,1850,1000,850,150
"{C}",19,"","Octet I",8,925,500,425,75
"{G}",20,"","Octet I",8,925,500,425,75
"{T}",21,"","Octet I",8,925,500,425,75
"{A}",22,"","Octet I",8,925,500,425,75
"Octet II: {C, G, A, T}",23,"","Octet II",28,4069,2180,1889,291
"{G, T}",24,25,"Octet II",14,2071,1108,963,145
"{C, G}",25,24,"Octet II",14,2071,1108,963,145
"{A, C}",26,27,"Octet II",14,1998,1072,926,146
"{A, T}",27,26,"Octet II",14,1998,1072,926,146
"{A, G}",28,"","Octet II",12,1823,984,839,145
"{C, T}",29,"","Octet II",16,2246,1196,1050,146
"{C}",30,"","Octet II",8,1123,598,525,73
"{G}",31,"","Octet II",6,948,510,438,72
"{T}",32,"","Octet II",8,1123,598,525,73
"{A}",33,"","Octet II",6,875,474,401,73
