"Group_Name","Group_ID","Twin_Group_ID","Code_Section","Group_Size","P_T_Rational","N_T_Rational","Delta_T_Rational","P_N_Rational","Delta_P_Rational","Delta_N_Rational","P_T_Ratio","N_T_Ratio","Delta_T_Ratio","P_N_Ratio","Delta_P_Ratio","Delta_N_Ratio"
"ALL: {C, G, A, T}",1,"","All code",60,"4180/7769","3589/7769","591/7769","4180/3589","591/4180","591/3589","0.5380","0.4620","0.0761","1.1647","0.1414","0.1647"
"Keto: {G, T}",2,3,"All code",30,"2108/3921","1813/3921","295/3921","2108/1813","295/2108","295/1813","0.5376","0.4624","0.0752","1.1627","0.1399","0.1627"
"Strong: {C, G}",3,2,"All code",30,"2108/3921","1813/3921","295/3921","2108/1813","295/2108","295/1813","0.5376","0.4624","0.0752","1.1627","0.1399","0.1627"
"Amino: {A, C}",4,5,"All code",30,"7/13","6/13","1/13","7/6","1/7","1/6","0.5385","0.4615","0.0769","1.1667","0.1429","0.1667"
"Weak: {A, T}",5,4,"All code",30,"7/13","6/13","1/13","7/6","1/7","1/6","0.5385","0.4615","0.0769","1.1667","0.1429","0.1667"
"Purine: {A, G}",6,"","All code",28,"1984/3673","1689/3673","295/3673","1984/1689","295/1984","295/1689","0.5402","0.4598","0.0803","1.1747","0.1487","0.1747"
"Pyrimidine: {C, T}",7,"","All code",32,"549/1024","475/1024","37/512","549/475","74/549","74/475","0.5361","0.4639","0.0723","1.1558","0.1348","0.1558"
"{C}",8,"","All code",16,"549/1024","475/1024","37/512","549/475","74/549","74/475","0.5361","0.4639","0.0723","1.1558","0.1348","0.1558"
"{G}",9,"","All code",14,"1010/1873","863/1873","147/1873","1010/863","147/1010","147/863","0.5392","0.4608","0.0785","1.1703","0.1455","0.1703"
"{T}",10,"","All code",16,"549/1024","475/1024","37/512","549/475","74/549","74/475","0.5361","0.4639","0.0723","1.1558","0.1348","0.1558"
"{A}",11,"","All code",14,"487/900","413/900","37/450","487/413","74/487","74/413","0.5411","0.4589","0.0822","1.1792","0.1520","0.1792"
"Octet I: {C, G, A, T}",12,"","Octet I",32,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{G, T}",13,14,"Octet I",16,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{C, G}",14,13,"Octet I",16,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{A, C}",15,16,"Octet I",16,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{A, T}",16,15,"Octet I",16,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{A, G}",17,"","Octet I",16,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{C, T}",18,"","Octet I",16,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{C}",19,"","Octet I",8,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{G}",20,"","Octet I",8,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{T}",21,"","Octet I",8,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"{A}",22,"","Octet I",8,"20/37","17/37","3/37","20/17","3/20","3/17","0.5405","0.4595","0.0811","1.1765","0.1500","0.1765"
"Octet II: {C, G, A, T}",23,"","Octet II",28,"2180/4069","1889/4069","291/4069","2180/1889","291/2180","291/1889","0.5358","0.4642","0.0715","1.1540","0.1335","0.1540"
"{G, T}",24,25,"Octet II",14,"1108/2071","963/2071","145/2071","1108/963","145/1108","145/963","0.5350","0.4650","0.0700","1.1506","0.1309","0.1506"
"{C, G}",25,24,"Octet II",14,"1108/2071","963/2071","145/2071","1108/963","145/1108","145/963","0.5350","0.4650","0.0700","1.1506","0.1309","0.1506"
"{A, C}",26,27,"Octet II",14,"536/999","463/999","73/999","536/463","73/536","73/463","0.5365","0.4635","0.0731","1.1577","0.1362","0.1577"
"{A, T}",27,26,"Octet II",14,"536/999","463/999","73/999","536/463","73/536","73/463","0.5365","0.4635","0.0731","1.1577","0.1362","0.1577"
"{A, G}",28,"","Octet II",12,"984/1823","839/1823","145/1823","984/839","145/984","145/839","0.5398","0.4602","0.0795","1.1728","0.1474","0.1728"
"{C, T}",29,"","Octet II",16,"598/1123","525/1123","73/1123","598/525","73/598","73/525","0.5325","0.4675","0.0650","1.1390","0.1221","0.1390"
"{C}",30,"","Octet II",8,"598/1123","525/1123","73/1123","598/525","73/598","73/525","0.5325","0.4675","0.0650","1.1390","0.1221","0.1390"
"{G}",31,"","Octet II",6,"85/158","73/158","6/79","85/73","12/85","12/73","0.5380","0.4620","0.0759","1.1644","0.1412","0.1644"
"{T}",32,"","Octet II",8,"598/1123","525/1123","73/1123","598/525","73/598","73/525","0.5325","0.4675","0.0650","1.1390","0.1221","0.1390"
"{A}",33,"","Octet II",6,"474/875","401/875","73/875","474/401","73/474","73/401","0.5417","0.4583","0.0834","1.1820","0.1540","0.1820"
