"Transl_Table","Code_Name","Pool_Model","Position","Keto_minus_Amino_T","Keto_minus_Amino_P","Keto_minus_Amino_N","Keto_minus_Amino_Delta","T_mod37","P_mod37","N_mod37","Delta_mod37","Position_Has_Div37","Positions_With_Div37"
1,"The Standard Code","Model_1",1,-761,-428,-333,-95,16,16,0,16,1,3
1,"The Standard Code","Model_1",2,185,124,61,63,0,13,24,26,1,3
1,"The Standard Code","Model_1",3,73,36,37,-1,36,36,0,36,1,3
1,"The Standard Code","Model_2",1,-761,-428,-333,-95,16,16,0,16,1,3
1,"The Standard Code","Model_2",2,185,124,61,63,0,13,24,26,1,3
1,"The Standard Code","Model_2",3,73,36,37,-1,36,36,0,36,1,3
2,"The Vertebrate Mitochondrial Code","Model_1",1,-227,-140,-87,-53,32,8,24,21,0,0
2,"The Vertebrate Mitochondrial Code","Model_1",2,59,52,7,45,22,15,7,8,0,0
2,"The Vertebrate Mitochondrial Code","Model_1",3,-149,-80,-69,-11,36,31,5,26,0,0
2,"The Vertebrate Mitochondrial Code","Model_2",1,-227,-140,-87,-53,32,8,24,21,0,0
2,"The Vertebrate Mitochondrial Code","Model_2",2,59,52,7,45,22,15,7,8,0,0
2,"The Vertebrate Mitochondrial Code","Model_2",3,-149,-80,-69,-11,36,31,5,26,0,0
3,"The Yeast Mitochondrial Code","Model_1",1,-527,-296,-231,-65,28,0,28,9,1,1
3,"The Yeast Mitochondrial Code","Model_1",2,359,208,151,57,26,23,3,20,0,1
3,"The Yeast Mitochondrial Code","Model_1",3,-149,-80,-69,-11,36,31,5,26,0,1
3,"The Yeast Mitochondrial Code","Model_2",1,-527,-296,-231,-65,28,0,28,9,1,1
3,"The Yeast Mitochondrial Code","Model_2",2,359,208,151,57,26,23,3,20,0,1
3,"The Yeast Mitochondrial Code","Model_2",3,-149,-80,-69,-11,36,31,5,26,0,1
4,"The Mold, Protozoan, and Coelenterate Mitochondrial Code and the Mycoplasma/Spiroplasma Code","Model_1",1,-557,-320,-237,-83,35,13,22,28,0,0
4,"The Mold, Protozoan, and Coelenterate Mitochondrial Code and the Mycoplasma/Spiroplasma Code","Model_1",2,389,232,157,75,19,10,9,1,0,0
4,"The Mold, Protozoan, and Coelenterate Mitochondrial Code and the Mycoplasma/Spiroplasma Code","Model_1",3,-131,-72,-59,-13,17,2,15,24,0,0
4,"The Mold, Protozoan, and Coelenterate Mitochondrial Code and the Mycoplasma/Spiroplasma Code","Model_2",1,-557,-320,-237,-83,35,13,22,28,0,0
4,"The Mold, Protozoan, and Coelenterate Mitochondrial Code and the Mycoplasma/Spiroplasma Code","Model_2",2,389,232,157,75,19,10,9,1,0,0
4,"The Mold, Protozoan, and Coelenterate Mitochondrial Code and the Mycoplasma/Spiroplasma Code","Model_2",3,-131,-72,-59,-13,17,2,15,24,0,0
5,"The Invertebrate Mitochondrial Code","Model_1",1,-437,-252,-185,-67,7,7,0,7,1,1
5,"The Invertebrate Mitochondrial Code","Model_1",2,269,164,105,59,10,16,31,22,0,1
5,"The Invertebrate Mitochondrial Code","Model_1",3,-149,-80,-69,-11,36,31,5,26,0,1
5,"The Invertebrate Mitochondrial Code","Model_2",1,-437,-252,-185,-67,7,7,0,7,1,1
5,"The Invertebrate Mitochondrial Code","Model_2",2,269,164,105,59,10,16,31,22,0,1
5,"The Invertebrate Mitochondrial Code","Model_2",3,-149,-80,-69,-11,36,31,5,26,0,1
6,"The Ciliate, Dasycladacean and Hexamita Nuclear Code","Model_1",1,-469,-272,-197,-75,12,24,25,36,0,1
6,"The Ciliate, Dasycladacean and Hexamita Nuclear Code","Model_1",2,-107,-32,-75,43,4,5,36,6,0,1
6,"The Ciliate, Dasycladacean and Hexamita Nuclear Code","Model_1",3,73,36,37,-1,36,36,0,36,1,1
6,"The Ciliate, Dasycladacean and Hexamita Nuclear Code","Model_2",1,-469,-272,-197,-75,12,24,25,36,0,1
6,"The Ciliate, Dasycladacean and Hexamita Nuclear Code","Model_2",2,-107,-32,-75,43,4,5,36,6,0,1
6,"The Ciliate, Dasycladacean and Hexamita Nuclear Code","Model_2",3,73,36,37,-1,36,36,0,36,1,1
9,"The Echinoderm and Flatworm Mitochondrial Code","Model_1",1,-405,-234,-171,-63,2,25,14,11,0,0
9,"The Echinoderm and Flatworm Mitochondrial Code","Model_1",2,265,166,99,67,6,18,25,30,0,0
9,"The Echinoderm and Flatworm Mitochondrial Code","Model_1",3,-117,-62,-55,-7,31,12,19,30,0,0
9,"The Echinoderm and Flatworm Mitochondrial Code","Model_2",1,-405,-234,-171,-63,2,25,14,11,0,0
9,"The Echinoderm and Flatworm Mitochondrial Code","Model_2",2,265,166,99,67,6,18,25,30,0,0
9,"The Echinoderm and Flatworm Mitochondrial Code","Model_2",3,-117,-62,-55,-7,31,12,19,30,0,0
10,"The Euplotid Nuclear Code","Model_1",1,-640,-364,-276,-88,26,6,20,23,0,0
10,"The Euplotid Nuclear Code","Model_1",2,306,188,118,70,10,3,7,33,0,0
10,"The Euplotid Nuclear Code","Model_1",3,-48,-28,-20,-8,26,9,17,29,0,0
10,"The Euplotid Nuclear Code","Model_2",1,-640,-364,-276,-88,26,6,20,23,0,0
10,"The Euplotid Nuclear Code","Model_2",2,306,188,118,70,10,3,7,33,0,0
10,"The Euplotid Nuclear Code","Model_2",3,-48,-28,-20,-8,26,9,17,29,0,0
11,"The Bacterial, Archaeal and Plant Plastid Code","Model_1",1,-761,-428,-333,-95,16,16,0,16,1,3
11,"The Bacterial, Archaeal and Plant Plastid Code","Model_1",2,185,124,61,63,0,13,24,26,1,3
11,"The Bacterial, Archaeal and Plant Plastid Code","Model_1",3,73,36,37,-1,36,36,0,36,1,3
11,"The Bacterial, Archaeal and Plant Plastid Code","Model_2",1,-761,-428,-333,-95,16,16,0,16,1,3
11,"The Bacterial, Archaeal and Plant Plastid Code","Model_2",2,185,124,61,63,0,13,24,26,1,3
11,"The Bacterial, Archaeal and Plant Plastid Code","Model_2",3,73,36,37,-1,36,36,0,36,1,3
12,"The Alternative Yeast Nuclear Code","Model_1",1,-735,-412,-323,-89,5,32,10,22,0,0
12,"The Alternative Yeast Nuclear Code","Model_1",2,159,108,51,57,11,34,14,20,0,0
12,"The Alternative Yeast Nuclear Code","Model_1",3,47,20,27,-7,10,20,27,30,0,0
12,"The Alternative Yeast Nuclear Code","Model_2",1,-735,-412,-323,-89,5,32,10,22,0,0
12,"The Alternative Yeast Nuclear Code","Model_2",2,159,108,51,57,11,34,14,20,0,0
12,"The Alternative Yeast Nuclear Code","Model_2",3,47,20,27,-7,10,20,27,30,0,0
13,"The Ascidian Mitochondrial Code","Model_1",1,-377,-220,-157,-63,30,2,28,11,0,0
