"Value_Set","Prime","Divisible_All","Total_All","Divisible_Distinct","Total_Distinct","Expected_Distinct","Divisible_Distinct_OddCores"
"param_independent",2,50,68,22,28,"14/1",12
"param_independent",3,17,68,7,28,"28/3",3
"param_independent",5,50,68,16,28,"28/5",6
"param_independent",7,3,68,2,28,"4/1",1
"param_independent",11,0,68,0,28,"28/11",0
"param_independent",13,3,68,2,28,"28/13",1
"param_independent",17,11,68,3,28,"28/17",1
"param_independent",19,3,68,2,28,"28/19",1
"param_independent",23,3,68,2,28,"28/23",1
"param_independent",29,0,68,0,28,"28/29",0
"param_independent",31,0,68,0,28,"28/31",0
"param_independent",37,14,68,5,28,"28/37",2
"param_independent",41,0,68,0,28,"28/41",0
"param_independent",43,0,68,0,28,"28/43",0
"param_independent",47,0,68,0,28,"28/47",0
"param_independent",53,0,68,0,28,"28/53",0
"param_independent",59,0,68,0,28,"28/59",0
"param_independent",61,3,68,2,28,"28/61",1
"param_independent",67,0,68,0,28,"28/67",0
"param_independent",71,0,68,0,28,"28/71",0
"param_independent",73,3,68,2,28,"28/73",1
"param_independent",79,0,68,0,28,"28/79",0
"param_independent",83,0,68,0,28,"28/83",0
"param_independent",89,0,68,0,28,"28/89",0
"param_independent",97,0,68,0,28,"28/97",0
"key0",2,108,132,59,70,"35/1",48
"key0",3,42,132,23,70,"70/3",18
"key0",5,60,132,24,70,"14/1",14
"key0",7,10,132,8,70,"10/1",7
"key0",11,5,132,3,70,"70/11",3
"key0",13,10,132,6,70,"70/13",5
"key0",17,15,132,5,70,"70/17",3
"key0",19,5,132,4,70,"70/19",3
"key0",23,3,132,2,70,"70/23",1
"key0",29,1,132,1,70,"70/29",1
"key0",31,1,132,1,70,"70/31",1
"key0",37,31,132,13,70,"70/37",10
"key0",41,0,132,0,70,"70/41",0
"key0",43,4,132,3,70,"70/43",2
"key0",47,0,132,0,70,"70/47",0
"key0",53,0,132,0,70,"70/53",0
"key0",59,3,132,3,70,"70/59",3
"key0",61,3,132,2,70,"70/61",1
"key0",67,2,132,1,70,"70/67",1
"key0",71,1,132,1,70,"70/71",1
"key0",73,6,132,2,70,"70/73",1
"key0",79,2,132,2,70,"70/79",2
"key0",83,1,132,1,70,"70/83",1
"key0",89,1,132,1,70,"70/89",1
"key0",97,0,132,0,70,"70/97",0
"key1",2,108,132,39,47,"47/2",20
"key1",3,33,132,15,47,"47/3",7
"key1",5,66,132,19,47,"47/5",7
"key1",7,3,132,2,47,"47/7",1
"key1",11,3,132,2,47,"47/11",1
"key1",13,3,132,2,47,"47/13",1
"key1",17,11,132,3,47,"47/17",1
"key1",19,6,132,3,47,"47/19",1
"key1",23,3,132,2,47,"47/23",1
"key1",29,10,132,2,47,"47/29",1
"key1",31,3,132,2,47,"47/31",1
"key1",37,42,132,10,47,"47/37",4
"key1",41,0,132,0,47,"47/41",0
"key1",43,0,132,0,47,"47/43",0
"key1",47,0,132,0,47,"1/1",0
"key1",53,0,132,0,47,"47/53",0
"key1",59,0,132,0,47,"47/59",0
"key1",61,3,132,2,47,"47/61",1
"key1",67,0,132,0,47,"47/67",0
"key1",71,0,132,0,47,"47/71",0
"key1",73,11,132,3,47,"47/73",1
"key1",79,0,132,0,47,"47/79",0
"key1",83,0,132,0,47,"47/83",0
"key1",89,0,132,0,47,"47/89",0
"key1",97,0,132,0,47,"47/97",0
