"Representation","Delta_P","Delta_N","Anchor","Class","Value","Value_mod37","Matches_Free"
"free",0,0,"N_sense","absolute",3589,0,True
"free",0,0,"P_sense","absolute",4180,36,True
"free",0,0,"deficit_T_OctetI_minus_N_sense","absolute",111,0,True
"free",0,0,"N_Keto","absolute",1813,0,True
"free",0,0,"N_Amino","absolute",1776,0,True
"free",0,0,"N_Strong","absolute",1813,0,True
"free",0,0,"N_Weak","absolute",1776,0,True
"free",0,0,"dN_Trp_Ile","relational",37,0,True
"free",0,0,"dP_Trp_Ile","relational",36,36,True
"free",0,0,"KetoAmino_dN","relational",37,0,True
"free",0,0,"KetoAmino_dP","relational",36,36,True
"free",0,0,"StrongWeak_dN","relational",37,0,True
"free",0,0,"StrongWeak_dP","relational",36,36,True
"peptide_residue",-10,-8,"N_sense","absolute",3109,1,False
"peptide_residue",-10,-8,"P_sense","absolute",3580,28,False
"peptide_residue",-10,-8,"deficit_T_OctetI_minus_N_sense","absolute",15,15,False
"peptide_residue",-10,-8,"N_Keto","absolute",1573,19,False
"peptide_residue",-10,-8,"N_Amino","absolute",1536,19,False
"peptide_residue",-10,-8,"N_Strong","absolute",1573,19,False
"peptide_residue",-10,-8,"N_Weak","absolute",1536,19,False
"peptide_residue",-10,-8,"dN_Trp_Ile","relational",37,0,True
"peptide_residue",-10,-8,"dP_Trp_Ile","relational",36,36,True
"peptide_residue",-10,-8,"KetoAmino_dN","relational",37,0,True
"peptide_residue",-10,-8,"KetoAmino_dP","relational",36,36,True
"peptide_residue",-10,-8,"StrongWeak_dN","relational",37,0,True
"peptide_residue",-10,-8,"StrongWeak_dP","relational",36,36,True
"zwitterion",0,0,"N_sense","absolute",3589,0,True
"zwitterion",0,0,"P_sense","absolute",4180,36,True
"zwitterion",0,0,"deficit_T_OctetI_minus_N_sense","absolute",111,0,True
"zwitterion",0,0,"N_Keto","absolute",1813,0,True
"zwitterion",0,0,"N_Amino","absolute",1776,0,True
"zwitterion",0,0,"N_Strong","absolute",1813,0,True
"zwitterion",0,0,"N_Weak","absolute",1776,0,True
"zwitterion",0,0,"dN_Trp_Ile","relational",37,0,True
"zwitterion",0,0,"dP_Trp_Ile","relational",36,36,True
"zwitterion",0,0,"KetoAmino_dN","relational",37,0,True
"zwitterion",0,0,"KetoAmino_dP","relational",36,36,True
"zwitterion",0,0,"StrongWeak_dN","relational",37,0,True
"zwitterion",0,0,"StrongWeak_dP","relational",36,36,True
