"Transl_Table","Code_Name","Model","Stop_Count","Stops_Keto","Stops_Amino","Octet1_Struct_T","Bal_Stop_P","Bal_Stop_N","Bal_Start_P","Bal_Start_N","Bal_Added_P","Bal_Added_N","Bal_P_All","Bal_N_All","Bal_Status_P","Bal_Status_N","Bal_N_Diff_Octet1_Struct","Bal_N_All_eq_Octet1_Struct","Mod_Stop_P","Mod_Stop_N","Mod_Start_P","Mod_Start_N","Mod_Added_P","Mod_Added_N","Mod_P_All","Mod_N_All","Mod_Status_P","Mod_Status_N","Mod_N_Diff_Octet1_Struct","Mod_N_All_eq_Octet1_Struct","Bal_P_Divisible37","Bal_N_Divisible37","Cost_P","Cost_N","Mod_Stop_Params_Equal"
1,"The Standard Code",1,3,1,2,3700,36,37,0,0,108,111,4288,3700,"unique","unique",0,"True",37,37,1,0,112,111,4292,3700,"unique","unique",0,"True","False","True",4,0,"True"
1,"The Standard Code",2,3,1,2,3700,36,37,0,0,108,111,4288,3700,"unique","unique",0,"True",37,37,1,0,112,111,4292,3700,"unique","unique",0,"True","False","True",4,0,"True"
2,"The Vertebrate Mitochondrial Code",1,4,2,2,3700,0,0,80,69,80,69,4188,3604,"unique","unique",-96,"False",26,24,80,69,184,165,4292,3700,"unique","unique",0,"True","False","False",104,96,"False"
2,"The Vertebrate Mitochondrial Code",2,4,2,2,3700,0,0,80,69,80,69,4188,3604,"unique","unique",-96,"False",26,24,80,69,184,165,4292,3700,"unique","unique",0,"True","False","False",104,96,"False"
3,"The Yeast Mitochondrial Code",1,2,1,1,3652,0,0,80,69,80,69,4344,3748,"unique","unique",96,"False",11,13,80,69,102,95,4366,3774,"unique","unique",122,"False","False","False",22,26,"False"
3,"The Yeast Mitochondrial Code",2,2,1,1,3652,0,0,80,69,80,69,4344,3748,"unique","unique",96,"False",11,13,80,69,102,95,4366,3774,"unique","unique",122,"False","False","False",22,26,"False"
4,"The Mold, Protozoan, and Coelenterate Mitochondrial Code and the Mycoplasma/Spiroplasma Code",1,2,1,1,3700,0,0,72,59,72,59,4360,3744,"unique","unique",44,"False",3,15,72,59,78,89,4366,3774,"unique","unique",74,"False","False","False",6,30,"False"
4,"The Mold, Protozoan, and Coelenterate Mitochondrial Code and the Mycoplasma/Spiroplasma Code",2,2,1,1,3700,0,0,72,59,72,59,4360,3744,"unique","unique",44,"False",3,15,72,59,78,89,4366,3774,"unique","unique",74,"False","False","False",6,30,"False"
5,"The Invertebrate Mitochondrial Code",1,2,1,1,3700,0,0,80,69,80,69,4300,3702,"unique","unique",2,"False",33,36,80,69,146,141,4366,3774,"unique","unique",74,"False","False","False",66,72,"False"
5,"The Invertebrate Mitochondrial Code",2,2,1,1,3700,0,0,80,69,80,69,4300,3702,"unique","unique",2,"False",33,36,80,69,146,141,4366,3774,"unique","unique",74,"False","False","False",66,72,"False"
6,"The Ciliate, Dasycladacean and Hexamita Nuclear Code",1,1,0,1,3700,36,37,0,0,36,37,4372,3762,"unique","unique",62,"False",70,43,34,6,104,49,4440,3774,"unique","unique",74,"False","False","False",68,12,"False"
6,"The Ciliate, Dasycladacean and Hexamita Nuclear Code",2,1,0,1,3700,36,37,0,0,36,37,4372,3762,"unique","unique",62,"False",70,43,34,6,104,49,4440,3774,"unique","unique",74,"False","False","False",68,12,"False"
9,"The Echinoderm and Flatworm Mitochondrial Code",1,2,1,1,3700,0,0,62,55,62,55,4264,3674,"unique","unique",-26,"False",14,13,62,55,90,81,4292,3700,"unique","unique",0,"True","False","False",28,26,"False"
9,"The Echinoderm and Flatworm Mitochondrial Code",2,2,1,1,3700,0,0,62,55,62,55,4264,3674,"unique","unique",-26,"False",14,13,62,55,90,81,4292,3700,"unique","unique",0,"True","False","False",28,26,"False"
10,"The Euplotid Nuclear Code",1,2,1,1,3700,0,0,28,20,28,20,4272,3666,"unique","unique",-34,"False",10,17,28,20,48,54,4292,3700,"unique","unique",0,"True","False","False",20,34,"False"
10,"The Euplotid Nuclear Code",2,2,1,1,3700,0,0,28,20,28,20,4272,3666,"unique","unique",-34,"False",10,17,28,20,48,54,4292,3700,"unique","unique",0,"True","False","False",20,34,"False"
11,"The Bacterial, Archaeal and Plant Plastid Code",1,3,1,2,3700,36,37,0,0,108,111,4288,3700,"unique","unique",0,"True",37,37,1,0,112,111,4292,3700,"unique","unique",0,"True","False","True",4,0,"True"
11,"The Bacterial, Archaeal and Plant Plastid Code",2,3,1,2,3700,36,37,0,0,108,111,4288,3700,"unique","unique",0,"True",37,37,1,0,112,111,4292,3700,"unique","unique",0,"True","False","True",4,0,"True"
12,"The Alternative Yeast Nuclear Code",1,3,1,2,3674,20,27,0,0,60,81,4224,3660,"unique","unique",-14,"False",37,37,17,10,128,121,4292,3700,"unique","unique",26,"False","False","False",68,40,"True"
